movie_id,title,stripped_title,release_year,imdb_id,date_added
5d62766f-ce81-4cc8-a252-4f34fa7fcb85,Aliens,aliens,1986,tt0090605,2023-03-11 22:07:45.394990
0c9534a6-a482-43d3-acd4-99365e3985ca,Spider-Man: Into the Spider-Verse,spidermanintothespiderverse,2018,tt4633694,2023-03-11 22:07:45.395912
427cf417-a37a-4326-bc5b-fa2188860dcd,American Beauty,americanbeauty,1999,tt0169547,2023-03-11 22:07:45.396877
a4185713-106b-46b3-890f-df587cb4df74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,drstrangeloveorhowilearnedtostopworryingandlovethebomb,1964,tt0057012,2023-03-11 22:07:45.397812
31f51282-299f-4500-a3cd-97f2ad11e6ca,The Dark Knight Rises,thedarkknightrises,2012,tt1345836,2023-03-11 22:07:45.398677
edf81c37-73d0-49a8-bc46-af2e042ac00d,Oldboy,oldboy,2003,tt0364569,2023-03-11 22:07:45.399494
4bdb0994-f803-4f3c-a166-0b8ec987d7c5,Inglourious Basterds,inglouriousbasterds,2009,tt0361748,2023-03-11 22:07:45.400323
6c22d16f-21a9-4901-8ad4-f24df27b655d,Amadeus,amadeus,1984,tt0086879,2023-03-11 22:07:45.401143
a9323bc6-23b1-4413-8c60-41cea1127849,Coco,coco,2017,tt2380307,2023-03-11 22:07:45.402009
cf75ae38-a169-4686-9292-76079c263bf2,Toy Story,toystory,1995,tt0114709,2023-03-11 22:07:45.402848
1b2f60b9-13e6-47d7-8110-2fd97f412621,Joker,joker,2019,tt7286456,2023-03-11 22:07:45.403666
0d3b2d32-3e4b-4841-8e22-e126204ec358,Braveheart,braveheart,1995,tt0112573,2023-03-11 22:07:45.404449
81ddb6bc-65b1-41f4-9d58-7169152c05fe,The Boat,theboat,1981,tt0082096,2023-03-11 22:07:45.405280
f78b01e1-f5b1-4986-8585-e27634763365,Avengers: Endgame,avengersendgame,2019,tt4154796,2023-03-11 22:07:45.406279
f4f55040-8128-492d-b6fa-8a5bea03a56f,Princess Mononoke,princessmononoke,1997,tt0119698,2023-03-11 22:07:45.407234
88ff8c83-59f1-4a3d-b9bb-2adbff75f842,Once Upon a Time in America,onceuponatimeinamerica,1984,tt0087843,2023-03-11 22:07:45.408280
27d27fdd-b47b-4849-ac52-8d763c5c7419,Good Will Hunting,goodwillhunting,1997,tt0119217,2023-03-11 22:07:45.409282
87f0917e-568d-41c2-a6e8-fe67d6898292,Your Name.,yourname,2016,tt5311514,2023-03-11 22:07:45.410195
0bec3697-f93b-4d0b-93bf-91764ae9077f,Singin' in the Rain,singinintherain,1952,tt0045152,2023-03-11 22:07:45.411072
f04654f6-23cd-4414-a879-ccfa2c6ef9cc,3 Idiots,3idiots,2009,tt1187043,2023-03-11 22:07:45.411948
7eb6a809-5c40-4703-987a-f2c02f712509,Requiem for a Dream,requiemforadream,2000,tt0180093,2023-03-11 22:07:45.412751
a0d10bc8-c3c0-47dc-935f-bc5e2c04ba16,High and Low,highandlow,1963,tt0057565,2023-03-11 22:07:45.413553
318e1ec9-5a11-4027-8c72-9a0d3d31878f,Toy Story 3,toystory3,2010,tt0435761,2023-03-11 22:07:45.414313
7a3e1b41-7b1c-4813-8361-cf248241f1a0,Capernaum,capernaum,2018,tt8267604,2023-03-11 22:07:45.415087
2df6af83-0b0b-477d-bc70-ca10653a7dc3,Star Wars: Episode VI - Return of the Jedi,starwarsepisodevireturnofthejedi,1983,tt0086190,2023-03-11 22:07:45.415867
3a9dcefc-c3f0-4c02-abd2-16bb8a2c463b,2001: A Space Odyssey,2001aspaceodyssey,1968,tt0062622,2023-03-11 22:07:45.416626
16b280e2-efc2-40d6-acd6-9e3d8cacd66b,Eternal Sunshine of the Spotless Mind,eternalsunshineofthespotlessmind,2004,tt0338013,2023-03-11 22:07:45.417493
f391d7aa-5737-4987-aea8-0dc90ba31494,Reservoir Dogs,reservoirdogs,1992,tt0105236,2023-03-11 22:07:45.418321
a8d8cd7c-c796-4ebe-a29a-204ebc554ea2,Come and See,comeandsee,1985,tt0091251,2023-03-11 22:07:45.419288
c08f395c-c359-42a8-a7a1-c18baeeac75d,The Hunt,thehunt,2012,tt2106476,2023-03-11 22:07:45.420083
ad8a56a3-4b6b-4cb3-aaaf-eaa40a29e9e9,Citizen Kane,citizenkane,1941,tt0033467,2023-03-11 22:07:45.420831
74d96ed0-a14b-43a4-b8da-f157bbd9e077,M,m,1931,tt0022100,2023-03-11 22:07:45.421604
1446e52a-5fa9-4702-8ac9-3b364bfe2284,Lawrence of Arabia,lawrenceofarabia,1962,tt0056172,2023-03-11 22:07:45.422414
4ad02a3a-15a2-4ba8-b18d-37d080e8fd30,North by Northwest,northbynorthwest,1959,tt0053125,2023-03-11 22:07:45.423231
10153fc5-ebe2-4d56-aab2-7ccdac4d7890,Ikiru,ikiru,1952,tt0044741,2023-03-11 22:07:45.423988
a8591272-0af9-430f-a94c-c5cae35f707e,Vertigo,vertigo,1958,tt0052357,2023-03-11 22:07:45.424795
687a1ae5-0631-4d92-8cf3-1d7225ca09af,The Apartment,theapartment,1960,tt0053604,2023-03-11 22:07:45.425704
3f0e078a-6df3-47c3-a35c-e0a2a0cd4746,Amélie,amélie,2001,tt0211915,2023-03-11 22:07:45.426516
ce5e260a-f517-47e0-a91b-adcf2bbc8d40,A Clockwork Orange,aclockworkorange,1971,tt0066921,2023-03-11 22:07:45.427376
bd63b221-eced-4b0f-a480-5e01acb8ce6c,Double Indemnity,doubleindemnity,1944,tt0036775,2023-03-11 22:07:45.428148
9d39f9bb-5b7a-4fcb-b36e-6cf3bdd44da9,Full Metal Jacket,fullmetaljacket,1987,tt0093058,2023-03-11 22:07:45.428959
cd595bd3-baad-4c9f-98ae-e54dc3621abb,Scarface,scarface,1983,tt0086250,2023-03-11 22:07:45.429751
cd860e2c-3256-48a4-8809-099ee8ba6fc4,Hamilton,hamilton,2020,tt8503618,2023-03-11 22:07:45.430490
3b9685e3-3d6f-41b5-941d-98f4dae7ce16,Incendies,incendies,2010,tt1255953,2023-03-11 22:07:45.431294
b78dad53-8976-4b50-9671-e766cce8ebb7,Heat,heat,1995,tt0113277,2023-03-11 22:07:45.432106
