clue_id,movie_id,category_id,clue_text,spoiler,date_created
8de1fbb3-076c-4d44-90c7-2361e0c50ca1,b2d3223b-dd60-4478-a1c8-a36f305020dd,2,A man is shot in the chest four times. Bloody bullet wounds are briefly seen. He then lies in a pool of blood with the bullet wounds on his back for a good 10 seconds.,true,2023-03-11 22:08:07.828587
57186785-2c8b-43d7-a646-3ee263e9c67c,b2d3223b-dd60-4478-a1c8-a36f305020dd,2,"A man shoots himself in the head. The camera cuts away right before, and blood sprays onto the glass behind him. We then see him with a blood trail on his neck and a blood splatter on the floor below him for 2 seconds.",true,2023-03-11 22:08:07.829688
39524714-a860-4e9f-94f5-dbb94da758b7,43cc65ef-48d5-478b-b1e0-38ff295bc138,2,"A man is shot, offscreen, at point-blank range.",false,2023-03-11 22:08:08.908536
374d3aab-2d11-4c11-8675-cbfeaeb0de03,b2d3223b-dd60-4478-a1c8-a36f305020dd,2,A man commits suicide by hanging. We see his feet jerk for a second or two. His body is then seen from behind for a few seconds.,true,2023-03-11 22:08:07.830621
72054942-54c7-4625-8b42-e67558af5e78,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,There is rape also implied and prison bullying.,true,2023-03-11 22:08:07.831918
b3772007-ba2a-4e79-be49-942d44d79dac,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,Brooks death is very emotional and hard to watch.,true,2023-03-11 22:08:07.832788
ff2fc63f-fd5b-4a08-98d5-f386bddc260c,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,The prison warden commits suicide near the end of the film by firing a gun while it's facing his chin. The bloody aftermath is shown when the police finally come in. It's one of the darkest scenes in this film.,true,2023-03-11 22:08:07.833669
6ea0cbc8-7627-4a5e-b095-cacea088cd3d,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,Two important characters commit suicide; a main character contemplates suicide. Very intense.,true,2023-03-11 22:08:07.834529
94104200-5b56-4e3c-9b34-c319ffc55822,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,"There is a scene where an old man commits suicide from hanging himself this scene is built up with an emotional monologue ( speech ) this scene is more meant to be sad and emotional talking about when men are institutionalised, however audiences might not like this as we see him after he is hanged still in the rope dead .",true,2023-03-11 22:08:07.835439
4a1f58cc-d15e-4859-8952-b70c25e01d36,8665eb4b-54e2-485f-97bd-af48da931022,1,Gangsters barge in on a man having sex with a woman clothed. No nudity shown. The scene stops almost instantly (very brief),false,2023-03-11 22:08:08.224524
